label	content	text2
8	Setermoen is the administrative centre of the municipality of Bardu in Troms county Norway. The village is located along the Barduelva river about 25 kilometres (16 mi) east of Sjøvegan and about 25 kilometres (16 mi) south of Bardufoss. The local council declared city status for Setermoen in 1999 but this was rejected by the government of Norway since the municipality has less than 5000 inhabitants.	
1	Mutanda Primary School is a day school located within Sakubva high density township in Mutare Zimbabwe. It is one of the primary school that has the largest intake. Students typically walk to school in some instances students walk long distances to school.	
6	Johnston-Meek House is a historic home located at Huntington Cabell County West Virginia. It is a two-story brick Colonial Revival style dwelling with a hipped roof. The original section was built in 1832 with additions in 1838 1923 and 1941. The 1923 Colonial Revival entrance portico and a number of other significant modifications were designed by local architect Sidney L. Day.It was listed on the National Register of Historic Places in 2004.	
5	The Voith Maxima locomotives are a new family of diesel-hydraulic locomotives built by Voith Turbo Lokomotivtechnik GmbH & Co. KG. a subsidiary of Voith. The most powerful single-engined diesel-hydraulic locomotive in the world the Maxima 40CC is rated at 3600 kW. Initially two versions of a 6 axle C'C' machine were offered with medium speed engines from the Anglo-Belgian Corporation; the Maxima 30CC and Maxima 40CC.	
11	The Moment is the sixth album by British singer Lisa Stansfield released by ZTT Records on 27 September 2004. It was her first new studio album since 2001's Face Up. The Moment was entirely produced by Trevor Horn the acclaimed producer behind Frankie Goes to Hollywood and Seal. It garnered positive reviews from music critics who praised Stansfield's voice and the fact that an established artist like her is still evolving and experimenting.	
13	The Canadian Illustrated News was a weekly Canadian illustrated magazine published in Montreal from 1869 to 1883. It was published by George Desbarats.The magazine was notable for being the first in the world to consistently produce photographs at a successful rate.	
6	Lowville Presbyterian Church is a historic Presbyterian church located at Lowville in Lewis County New York. It consists of restangular stone gable roofed main block erected in 1831 and an attached gable roofed wing added in 1906. The front facade features a pavilion with triangular pediment surmounted by a staged wood bell tower that contains the town clock.It was listed on the National Register of Historic Places in 2007.	
0	Carnival Films is an award winning British television production company based in London UK. It has produced television series for all the major UK networks including the BBC ITV Channel 4 and Sky as well as a number of international broadcasters including PBS A&E HBO and NBC. Its productions vary from single dramas and long-running television drama to feature film and stage productions.	
13	The Cumbrian Trilogy comprises three novels by Melvyn Bragg published between 1969 and 1980.The story is set predominantly in Thurston (Bragg's name for Wigton) from the 1920s to the 1970s and follows the lives of John Tallentire his son Joseph and his grandson Douglas.	
4	Emma Johanna Henny Emmy Göring (née Sonnemann) (24 March 1893 – 8 June 1973) was a German actress and the second wife of Luftwaffe Commander-in-Chief Hermann Göring. She served as Adolf Hitler's hostess at many state functions and thereby staked a claim to the title of First Lady of the Third Reich.	
13	The Macleod Gazette is a weekly local newspaper in Fort Macleod Alberta Canada. It has been recognized as the best newspaper with its circulation size in Canada as well as having the best editorial and best local sports pages.[citation needed] The Macleod Gazette is also part of the Regional a co-operative regional newspaper between the Claresholm Local Press High River Times The Macleod Gazette Nanton News Okotoks Western Wheel and Vulcan Advocate.	
1	North Atlanta High School is a high school of approximately 1600 students in Buckhead the northern part of Atlanta United States. The school is a part of Atlanta Public Schools.The school was formed after North Fulton High School combined with Northside High School during the 1991–1992 school year.	
7	Milner Pass elevation 10759 ft (3279 m) is a mountain pass in the Rocky Mountains of northern Colorado in the United States. It is located on the continental divide in the Front Range within Rocky Mountain National Park along the boundary between Larimer and Grand counties. The pass provides the passage over the continental divide for US 34 also known as Trail Ridge Road between Estes Park and Granby.	
10	Ulmus 'San Zanobi' is a hybrid elm cultivar raised by the Istituto per la Protezione delle Piante (IPP) in Florence. Derived from a crossing of the Dutch hybrid 'Plantyn' and the Siberian Elm Ulmus pumila clone 'S 15' it was released for sale in 2002.	
9	The Barred Fruit-tree Tortrix (Pandemis cerasana) is a moth of the family Tortricidae. It is found in Europe.The wingspan is 16–25 mm. The moth flies from June to August. .The larvae feed on various trees and shrubs including apple and pear.	
1	Changsha Normal University (simplified Chinese: 长沙师范学院; traditional Chinese: 長沙師範學院; pinyin: Chángshā Shīfàn Xuéyuàn) is a university located in Changsha Hunan China.As of fall 2013 the university has two campuses a combined student body of 10000 students 600 faculty members.The university consists of 10 departments with 6 specialties for undergraduates. The university covers a total area of 1100 mu with more than 10178 square meters of floor space.	
0	Ocean Village was a British-American owned cruise line based in Southampton Hampshire UK. Designed to offer an alternative cruise experience Ocean Village was founded by P&O Princess Cruises which later merged with Carnival Corporation to form Carnival Corporation & plc. Ocean Village operated from 2003 until 2010 when the brand was discontinued with the cruise ship Ocean Village transferring to P&O Cruises Australia. Ocean Village became part of P&O Cruises Australia.	
12	Dillinger is a 1945 gangster film telling the story of John Dillinger. The film was directed by Max Nosseck. Dillinger was the first major film to star Lawrence Tierney. The B-movie was shot in black and white and features a smoke-bomb bank robbery edited into the film from the 1937 Fritz Lang film You Only Live Once. The film was released on DVD by Warner Bros. for the Film Noir Classic Collections 2 in 2005 even though the film is generally regarded as not being film noir.	
9	The North American Cactus Moth (Melitara dentata) is a moth of the Pyralidae family. It is native to western North America where it is widespread from Alberta to southern Arizona and central Texas. It is an introduced species in Hawaii.The wingspan is 32-50 mm. Adults have a stocky grayish body with long and narrow gray forewings often with a whitish costal margin.	
1	The École nationale supérieure d'ingénieurs de Poitiers (ENSIP) is a French generalist engineering grande école in Poitiers the regional capital of Poitou-Charentes. Its focus is on the protection of the environment and is part of the University of Poitiers one of the oldest universities in Europe.	
